PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl
0jFAy,2r4k/pb3pp1/1pn3q1/4P3/4Q3/3r1BP1/P4P1P/R1B1R1K1 b - - 5 23,c6e5 e4h4 h8g8 f3b7 e5f3 b7f3,2135,75,89,1657,advantage discoveredAttack long master masterVsMaster middlegame,https://lichess.org/D0sdKeNX/black#46
0FDs5,1r1q3r/p1p2k2/1p1pbb1p/3P2p1/1Qn1Pp2/5N1P/PP1B2P1/2KR3R b - - 1 18,c7c5 d5e6 f7g8 b4c4,1192,75,91,779,crushing middlegame short,https://lichess.org/fwDi9ZsK/black#36
0MmIL,r2q1rk1/pppbbppp/2n1pn2/1B4B1/3Pp3/2N3N1/PPP2PPP/R2Q1RK1 w - - 4 9,c3e4 f6e4 g3e4 e7g5,996,86,93,258,crushing discoveredAttack master opening short,https://lichess.org/6avNFJtG#17
0y07A,2kr3r/Qpp1npp1/p1qp3p/4P3/8/3R4/PPP2PPP/5RK1 b - - 0 16,d6e5 a7a8,1060,147,100,38,mate mateIn1 middlegame oneMove,https://lichess.org/egDGnWxx/black#32
05soM,6k1/5p2/Q5pK/7P/2P1P3/p7/6q1/8 b - - 2 43,g2e4 a6c8 e4e8 c8e8,1173,84,92,1434,endgame mate mateIn2 queenEndgame short,https://lichess.org/p1BzdKQL/black#86
0t7b9,1k5r/1pqrn3/p3p1pp/3pPp2/2nN3P/PRP5/2PBQPP1/4K2R b K - 1 20,c7e5 e2e5 c4e5 d2f4 b8a8 f4e5,1881,75,96,2076,crushing long middlegame pin,https://lichess.org/CQcVOZEd/black#40
05HEv,5rk1/ppR5/6p1/2p1p3/2P1P3/3P1rK1/PP6/3R4 w - - 1 39,g3g4 f8f4 g4g5 f3g3 g5h6 f4h4,1271,76,94,870,endgame long mate mateIn3 rookEndgame,https://lichess.org/S8lveYGp#77
0cOkC,5k2/2r2ppp/R1N1p3/3p4/3Pn3/4P3/5PPP/6K1 b - - 1 25,e4c3 a6a8 c7c8 a8c8,749,80,94,605,endgame mate mateIn2 short,https://lichess.org/7PLjPPIx/black#50
0I03I,r4k2/1r1P1p2/2R1p1p1/pp5p/2p2P1P/2P5/1P4P1/3R2K1 b - - 0 33,f8e7 c6c8 b7d7 d1d7 e7d7 c8a8,1620,74,96,4138,crushing endgame long rookEndgame,https://lichess.org/L0SXEfg6/black#66
0nlJk,8/8/p2Np1k1/1P3pp1/1b1R4/1P2PP2/P1r1K3/8 w - - 1 35,e2d3 c2d2 d3c4 d2d4 c4d4 b4d6 b5a6 d6b8,1888,76,85,104,crushing defensiveMove endgame veryLong,https://lichess.org/jBa3IK4X#69
08109,4r1k1/p5pp/2r2p2/2B5/3pNP2/6P1/P4K1P/4R3 b - - 0 30,d4d3 e4f6 g7f6 e1e8,778,75,98,1599,advantage discoveredAttack endgame short,https://lichess.org/rXDSpUaA/black#60
05GUn,rnb1kb1r/p2ppp1p/6p1/qP1N4/8/1pR5/PP2PPPP/3QKBNR b Kkq - 1 10,b3a2 b2b4 a5d8 d5c7 d8c7 c3c7,2042,76,92,1606,crushing fork long opening,https://lichess.org/L47R7CCJ/black#20
